"device_ID","session_start_timeStamp","session_end_timeStamp","group_ID","pin_code_name","layout_info_json_version","behaviors_json_version","gps_on","compass_on","map_mode_on","physical_contact_threshold"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-10,14:22:00",,"ABY","Alexander","v1.0","v1.0","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-10,14:22:41",,"ABY","Alexander","v1.0","v1.0","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-10,14:23:11",,"ABY","Alexander","v1.0","v1.0","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-10,14:23:29",,"ABY","Alexander","v1.0","v1.0","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-11,19:27:33",,"ABY","Alexander","v1.0","v1.0","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-11,19:52:36",,"MOL","Alexander","v1.2","v1.2","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-11,19:56:50","2019-06-11,19:59:19","MOL","Alexander","v1.2","v1.2","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,10:40:18",,"TNY","Alexander","v1.2","v1.2","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,16:13:53","2019-06-12,16:20:52","TNY","Alexander","v1.2","v1.2","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,16:23:27",,"TNY","Calixto","v1.2","v1.2","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,16:25:11","2019-06-12,16:32:57","TNY","Alexander","v1.2","v1.2","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,16:34:05","2019-06-12,16:35:24","TNY","Alexander","v1.2","v1.2","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,20:22:08","2019-06-12,23:04:09","TNY","Alexander","v1.2","v1.2","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-13,15:40:02",,"TNY","Alexander","v1.2","v1.2","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-13,15:41:26",,"TNY","Alexander","v1.2","v1.2","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-13,15:43:02","2019-06-13,16:16:16","TNY","Alexander","v1.3","v1.3","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-13,16:22:08","2019-06-13,16:24:34","TNY","Alexander","v1.3","v1.3","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-13,17:55:17","2019-06-13,23:00:23","TNY","Alexander","v1.3","v1.3","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-14,17:59:33","2019-06-15,17:49:51","TNY","Alexander","v1.3","v1.4","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-15,17:59:45",,"TNY","Alexander","v1.3","v1.4","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-16,18:00:40","2019-06-16,20:58:39","TNY","Alexander","v1.3","v1.4","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-16,20:59:25","2019-06-16,22:43:34","TNY","Alexander","v1.3","v1.4","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-17,18:04:10",,"TNY","Alexander","v1.3","v1.4","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-17,20:02:27","2019-06-17,21:32:57","TNY","Alexander","v1.3","v1.4","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-18,18:00:15","2019-06-18,21:11:14","TNY","Alexander","v1.3","v1.4","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-19,18:11:53","2019-06-19,22:26:14","TNY","Alexander","v1.3","v1.4","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-22,19:48:12","2019-06-22,21:34:08","TNY","Alexander","v1.3","v1.4","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-23,19:12:37","2019-06-23,22:08:10","TNY","Alexander","v1.3","v1.4","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-12,16:17:28",,"MOL","Alexander","v1.3","v1.4","1","0","0","0.6"
