"device_ID","session_start_timeStamp","focal_start_timeStamp","focalVars","Flower Location*","Data Usage"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2020-01-02,18:22:15","2020-01-02,18:22:26","Flower Location","A01",
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2020-01-02,18:22:15","2020-01-02,18:22:26","Data Usage",,"Research"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2020-01-03,18:25:37","2020-01-03,18:25:49","Flower Location","A01",
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2020-01-03,18:25:37","2020-01-03,18:25:49","Data Usage",,"Research"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2020-01-03,19:58:33","2020-01-03,19:58:45","Flower Location","A01",
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2020-01-03,19:58:33","2020-01-03,19:58:45","Data Usage",,"Research"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2020-01-05,18:50:02","2020-01-05,18:50:18","Flower Location","A01",
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2020-01-05,18:50:02","2020-01-05,18:50:18","Data Usage",,"Research"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2020-01-06,18:36:40","2020-01-06,18:36:49","Flower Location","A01",
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2020-01-06,18:36:40","2020-01-06,18:36:49","Data Usage",,"Research"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2020-01-08,20:13:15","2020-01-08,20:13:35","Flower Location","A01",
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2020-01-08,20:13:15","2020-01-08,20:13:35","Data Usage",,"Research"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2020-01-11,19:02:57","2020-01-11,19:03:06","Flower Location","A01",
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2020-01-11,19:02:57","2020-01-11,19:03:06","Data Usage",,"Research"
