20_01_02_Cam1,,,,,"not visible: x count, no count: empty",,,,
Time,Region 1,x,Region 2,x,Region 3,x,Notes,Video File,
0:00:00,,,,,,,,,
0:01:00,,,,,,,,,
0:02:00,,,,,,,,,
0:03:00,,,,,,,,,
0:04:00,,,,,,,,,
0:05:00,,,,,,,,,
0:06:00,,,,,,,,,
0:07:00,,,,,,,,,
0:08:00,,,,,,,,,
0:09:00,,,,,,,,,
0:10:00,,,,,,,,"video frame shift, regions don't match anymore",
0:11:00,,,,,,,,,
0:12:00,,,,,,,,,
0:13:00,,,,,,,,,
0:14:00,,,,,,,,,
0:15:00,,,,,,,,,
0:16:00,,,,,,,,,
0:17:00,,,,,,,,,
0:18:00,,,,,,,,,
0:19:00,,,,,,,,,
0:20:00,,,,,,,,,
0:21:00,,,,,,,,,
0:22:00,,,,,,,,,
0:23:00,,,,,,,,,
0:24:00,,,,,,,,,
0:25:00,1,1,,,,,0:25:32 kinkajou entering tree middle of lowest branch r1,0:25:01 no video,
0:26:00,1,1,,,,,,0:25:03 video back,
0:27:00,,,,,1,1,,,
0:28:00,,,,,1,,,,
0:29:00,,,1,,,,,,
0:30:00,,,1,,,,,,
0:31:00,,,1,,,,,,
0:32:00,,,1,,,,,,
0:33:00,,,1,,,,,,
0:34:00,,,1,1,,,outside of frame,,
0:35:00,,,1,,,,,,
0:36:00,,,1,,,,,,
0:37:00,,,1,,,,,,
0:38:00,1,,,,1,,,,
0:39:00,1,,,,1,,,,
0:40:00,1,,,,1,,,,
0:41:00,1,,,,1,,,,
0:42:00,1,,,,1,,,,
0:43:00,1,,,,1,,,,
0:44:00,1,,1,,1,,,,
0:45:00,1,,1,,1,1,,,
0:46:00,,,3,,,,,,
0:47:00,,,3,,,,,,
0:48:00,1,,2,,,,"transition r2/r1, one leaving r2",,
0:49:00,1,,1,,,,,,
0:50:00,1,,1,,,,,,
0:51:00,1,,1,,,,,,
0:52:00,1,,1,1,,,out of frame,,
0:53:00,1,,1,1,,,,,
0:54:00,1,,1,,,,,,
0:55:00,,,2,,,,,,
0:56:00,,,2,,,,,,
0:57:00,,,2,,,,,,
0:58:00,,,1,,1,,,,
0:59:00,,,1,,1,,leaving tree r2,,
1:00:00,,,,,1,,junp from tree r3 1:01:06,,
1:01:00,,,,,,,,,
1:02:00,,,1,,,,back of r2 stationary,,
1:03:00,,,1,1,,,,,
1:04:00,,,1,1,,,,,
1:05:00,1,,1,1,,,,,
1:06:00,1,,1,,,,,,
1:07:00,,,1,,1,,,,
