19_12_18_Cam1,,,,,"not visible: x count, no count: empty",,,,
Time,Region 1,x,Region 2,x,Region 3,x,Notes,Video File,
0:00:00,,,,,,, ,,
0:01:00,,,,,,,,,
0:02:00,,,,,,,,,
0:03:00,,,,,,,,,
0:04:00,,,,,,,,,
0:05:00,,,,,,,,,
0:06:00,,,,,,,,,
0:07:00,,,,,,,,,
0:08:00,,,,,,,,,
0:09:00,,,,,,,,,
0:10:00,,,,,,,,,
0:11:00,,,,,,,,,
0:12:00,,,,,,,,,
0:13:00,,,,,,,,,
0:14:00,,,,,,,,,
0:15:00,,,,,,,,,
0:16:00,,,,,,,,,
0:17:00,,,,,,,,,
0:18:00,,,,,,,,,
0:19:00,,,,,,,,,
0:20:00,,,,,,,,,
0:21:00,,,,,,,,,
0:22:00,,,,,,,,,
0:23:00,,,,,,,,,
0:24:00,,,,,,,,,
0:25:00,,,,,,,,,
0:26:00,,,,,,,,,
0:27:00,,,,,,,,,
0:28:00,1,,,,,,,,
0:29:00,1,,,,,,,,
0:30:00,1,1,,,,,,,
0:31:00,1,,,,,,,,
0:32:00,,,,,1,,might be r1,,
0:33:00,,,,,1,,,,
0:34:00,,,,,1,,,,
0:35:00,,,,,1,,,,
0:36:00,,,,,1,,,,
0:37:00,,,1,,,,,,
0:38:00,,,1,,,,,,
0:39:00,,,1,,,,,,
0:40:00,,,1,,,,,,
0:41:00,1,,1,,,,,,
0:42:00,2,2,1,,,,,,
0:43:00,1,,1,,,,,,
0:44:00,,,2,,,,,,
0:45:00,1,,1,,,,,,
0:46:00,1,,1,,,,,,
0:47:00,,,2,,,,,,
0:48:00,1,1,2,,,,r1 not sure if in tree,,
0:49:00,1,,1,,,,,,
0:50:00,1,,,,1,,,,
0:51:00,1,,,,,,jump from tree r3 51:03,,
0:52:00,1,,1,,,,,,
0:53:00,2,,,,,,,,
0:54:00,2,,1,,,,,,
0:55:00,2,1,1,,,,,,
0:56:00,1,1,2,,,,1 keaves r2 left lower corner,,
0:57:00,1,,,,,,,,
0:58:00,1,,,,,,,,
0:59:00,1,1,1,,,,,,
1:00:00,1,1,1,,,,,,
1:01:00,1,1,1,,,,,,
1:02:00,1,1,1,,,,,,
1:03:00,1,1,1,,,,,,
1:04:00,1,1,1,,,,,,
1:05:00,2,1,,,,,,,
1:06:00,1,1,1,,,,,,
1:07:00,1,1,1,,,,,,
1:08:00,1,1,1,,,,,,
1:09:00,1,1,1,,,,,,
1:10:00,,,,,1,,r1 prob. jumps out of tree around 1:09:30,,
