20_01_11_Cam1,,,,,"not visible: x count, no count: empty",,,,
Time,Region 1,x,Region 2,x,Region 3,x,Notes,Video File,
0:00:00,,,1,,,,,,
0:01:00,,,1,,,,,,
0:02:00,,,1,,,,,,
0:03:00,,,1,,,,,,
0:04:00,,,1,,,,,,
0:05:00,,,1,,,,,,
0:06:00,,,1,,,,,,
0:07:00,,,,,1,,"stationary, might be r1",,
0:08:00,,,,,1,,"""",,
0:09:00,,,,,1,,"""",,
0:10:00,,,,,1,,"""",,
0:11:00,,,,,1,,"""",,
0:12:00,,,,,1,,"""",,
0:13:00,,,,,1,,"""",,
0:14:00,,,,,1,,"""",,
0:15:00,,,,,1,,"""",getting very bright,
0:16:00,,,,,1,1,"""",,
0:17:00,,,,,1,1,"""",,
0:18:00,,,,,1,1,"""",,
0:19:00,,,,,1,1,"""",,
0:20:00,,,,,1,1,"""",,
0:21:00,,,,,1,1,"""",,
0:22:00,,,,,1,1,"""",,
0:23:00,,,,,1,1,"""",,
0:24:00,,,,,1,1,"""",,
0:25:00,,,,,1,1,"""",,
0:26:00,,,,,1,1,"""",,
0:27:00,,,,,1,1,"""",,
0:28:00,,,,,1,1,"""",,
0:29:00,,,,,1,1,"""",,
0:30:00,,,,,1,1,"""",,
0:31:00,,,,,1,1,"""",,
0:32:00,,,,,1,1,"""",,
0:33:00,,,,,1,1,"""",,
0:34:00,,,,,1,1,"""",,
0:35:00,,,,,1,1,"""",,
0:36:00,,,,,1,1,"""",,
0:37:00,,,,,1,1,"""",,
0:38:00,,,,,1,1,"""",,
0:39:00,,,,,1,1,"""",,
0:40:00,,,,,1,1,"""",,
0:41:00,,,,,1,1,"""",,
0:42:00,,,,,1,1,"""",,
0:43:00,,,,,1,1,"""",,
0:44:00,,,,,1,1,"""",,
0:45:00,,,,,1,1,,,
0:46:00,,,,,1,1,,,
0:47:00,,,,,1,1,,,
0:48:00,,,,,1,1,,,
0:49:00,,,,,2,1,started moving again 2nd joined before,,
0:50:00,,,1,,1,1,still maybe r1,,
0:51:00,,,1,,1,,,,
0:52:00,,,1,,1,,,,
0:53:00,,,1,,1,,,,
0:54:00,,,1,,1,1,,,
0:55:00,,,1,,1,,,,
0:56:00,,,1,,1,,,,
0:57:00,,,1,,1,,,,
0:58:00,,,1,,1,1,,,
0:59:00,,,1,,1,1,,,
1:00:00,,,1,,1,,,,
1:01:00,,,1,,1,,both stationary,,
1:02:00,,,1,,1,,,,
1:03:00,,,1,,1,,,,
1:04:00,,,1,,1,,,,
1:05:00,,,1,,1,,,,
1:06:00,,,1,,1,,r3 individual starts moving,,
1:07:00,,,1,,1,,r3 jumps out of sight,,
1:08:00,,,1,,,,,,
1:09:00,,,1,,,,,,
1:10:00,,,1,,,,,,
1:11:00,,,1,,,,starts moving but still same spot,,
1:12:00,,,1,,,,,,
1:13:00,,,1,,,,,,
1:14:00,1,,2,,,,"3rd joining, very small",,
1:15:00,1,,2,,,,,,
1:16:00,1,,2,,,,,,
1:17:00,2,,1,,,,,,
1:18:00,2,,1,,,,,,
1:19:00,2,,1,,,,,,
1:20:00,1,,2,,,,,,
1:21:00,1,,2,,,,1:21:40 interaction r2 ,,
1:22:00,1,1,,,1,1,"1:21:55 interaction ends, big jump",,
1:23:00,,,,,1,,,,
1:24:00,,,,,1,,,,
1:25:00,,,,,1,,out of sight back of r3,,
1:26:00,,,,,,,,,
1:27:00,,,,,,,,,
1:28:00,,,,,,,,,
1:29:00,,,,,,,,,
1:30:00,,,,,,,,,
1:31:00,,,,,,,,,
1:32:00,,,,,,,,,
1:33:00,,,,,,,,,
1:34:00,,,,,,,,,
1:35:00,,,,,,,,,
1:36:00,,,,,,,,,
