20_01_03_Cam1,,,,,"not visible: x count, no count: empty",,,,
Time,Region 1,x,Region 2,x,Region 3,x,Notes,Video File,
0:00:00,,,1,,,,,,
0:01:00,,,1,,,,,,
0:02:00,,,1,,,,,,
0:03:00,,,1,,,,,,
0:04:00,,,1,,,,,,
0:05:00,,,1,,,,,,
0:06:00,,,1,,,,jump 0:06:30,,
0:07:00,1,,,,,,transition r2/1 00:07:17,,
0:08:00,1,,,,,,,,
0:09:00,,,1,,,,,,
0:10:00,,,1,,,,leaving tree left lower corner r2 00:10:30,,
0:11:00,,,,,,,,,
0:12:00,,,,,,,,,
0:13:00,,,,,,,,,
0:14:00,,,,,,,,,
0:15:00,,,,,,,,,
0:16:00,,,,,,,,,
0:17:00,,,,,,,,,
0:18:00,,,,,,,,,
0:19:00,,,,,,,,,
0:20:00,,,,,,,,,
0:21:00,,,,,,,,,
0:22:00,,,,,,,,,
0:23:00,,,,,,,,,
0:24:00,,,,,,,,,
0:25:00,,,,,,,,,
0:26:00,,,,,,,,,
0:27:00,,,,,,,,,
0:28:00,,,,,,,,,
0:29:00,,,,,,,,,
0:30:00,,,,,,,,,
0:31:00,,,,,,,,,
0:32:00,,,,,,,,,
0:33:00,,,,,,,,,
0:34:00,,,,,,,,,
0:35:00,,,,,,,,,
0:36:00,,,,,,,,,
0:37:00,,,,,,,,,
0:38:00,,,,,,,,,
0:39:00,,,,,,,,,
0:40:00,,,,,,,,,
0:41:00,,,,,,,,,
0:42:00,,,,,,,,,
0:43:00,,,,,,,,,
0:44:00,,,,,,,,,
0:45:00,,,,,,,,,
0:46:00,,,,,,,,,
0:47:00,,,,,,,,,
0:48:00,,,,,,,,,
0:49:00,,,,,,,,,
0:50:00,,,,,,,,,
0:51:00,,,,,,,,,
0:52:00,,,,,,,,,
0:53:00,,,,,,,,,
0:54:00,,,,,,,,,
0:55:00,,,,,,,,,
0:56:00,,,,,,,,,
0:57:00,,,,,,,,,
0:58:00,,,,,,,,,
0:59:00,,,,,,,,,
1:00:00,,,,,,,,,
1:01:00,,,,,,,,,
1:02:00,,,,,,,,,
1:03:00,,,,,,,,,
1:04:00,,,,,,,,,
1:05:00,,,,,,,,,
1:06:00,,,,,,,,,
1:07:00,,,,,,,,,
1:08:00,,,,,,,,,
1:09:00,,,,,,,,,
1:10:00,,,,,,,,,
1:11:00,,,,,,,,,
1:12:00,,,,,,,,,
1:13:00,,,,,,,,,
1:14:00,,,,,,,,,
1:15:00,,,,,,,,,
1:16:00,,,,,,,,,
1:17:00,,,,,,,,,
1:18:00,,,,,,,,,
1:19:00,,,,,,,,,
1:20:00,,,,,,,,,
1:21:00,,,,,,,,,
1:22:00,,,,,,,,,
1:23:00,,,,,,,,,
1:24:00,,,,,,,,,
1:25:00,,,,,,,,,
1:26:00,,,,,,,,,
1:27:00,,,,,,,,,
1:28:00,,,,,,,,,
1:29:00,,,,,,,,,
1:30:00,,,,,,,,,
1:31:00,,,,,,,,,
1:32:00,,,,,,,,,
1:33:00,,,,,,,,,
1:34:00,,,,,,,,,
1:35:00,,,,,,,,,
1:36:00,,,,,,,,,
1:37:00,,,,,,,,,
1:38:00,,,,,,,,,
1:39:00,,,,,,,,,
1:40:00,,,,,,,,,
1:41:00,,,,,,,,,
1:42:00,,,,,,,,,
1:43:00,,,,,,,,,
1:44:00,,,,,,,,,
1:45:00,,,,,,,,,
1:46:00,,,,,,,,,
1:47:00,,,,,,,,,
1:48:00,,,,,,,,,
1:49:00,,,,,,,,,
1:50:00,,,,,,,,getting very bright,
1:51:00,,,,,,,,,
1:52:00,,,,,,,,,
1:53:00,,,,,,,,,
1:54:00,,,,,,,,,
1:55:00,,,,,,,,,
