19_12_17_Cam1,,,,,"not visible: x count, no count: empty",,,,
Time,Region 1,x,Region 2,x,Region 3,x,Notes,Video File,
0:00:00,,,1,,,,,,
0:01:00,,,1,,,,,,
0:02:00,,,1,,,,,,
0:03:00,,,,,1,,,,
0:04:00,,,,,1,,,,
0:05:00,,,,,1,,jump from tree 0:05:25,,
0:06:00,,,,,,,,,
0:07:00,1,,,,,,,,
0:08:00,1,,,,,,,,
0:09:00,1,,,,,,,,
0:10:00,1,,,,,,,,
0:11:00,1,,,,,,,,
0:12:00,1,,,,,,,,
0:13:00,1,,,,,,,no video 13:35,
0:14:00,,,,,,,,,
0:15:00,,,,,,,,,
0:16:00,,,,,,,,,
0:17:00,,,1,,,,,video back 17:35,
0:18:00,,,1,,,,,,
0:19:00,,,1,,,,,,
0:20:00,,,,,1,,,,
0:21:00,,,,,1,,,,
0:22:00,,,,,1,,jump from tree 22:38,,
0:23:00,,,,,,,,,
0:24:00,,,,,1,,,,
0:25:00,,,,,1,,,,
0:26:00,,,,,1,,,,
0:27:00,,,,,1,,,,
0:28:00,1,,,,,,transition over r2,,
0:29:00,1,,,,,,,,
0:30:00,,,1,,,,no video 30:58,,
0:31:00,,,,,,,,,
0:32:00,,,,,,,,,
0:33:00,,,,,,,,,
0:34:00,,,1,,,,"video back 34:31, leaves tree lower left corner r2",,
0:35:00,,,,,,,,,
0:36:00,,,,,,,,,
0:37:00,,,,,,,,,
0:38:00,,,,,,,,,
0:39:00,1,,,,,,entering tree over main branch,,
0:40:00,,,,,1,,,,
0:41:00,,,,,1,,,,
0:42:00,,,,,1,,jump from tree 42:58,,
0:43:00,,,,,,,,,
0:44:00,,,,,,,,,
0:45:00,,,1,,,,,,
0:46:00,,,1,,,,,,
0:47:00,1,,,,,,no video 47:49,,
0:48:00,,,,,,,,,
0:49:00,,,,,,,,,
0:50:00,1,,,,,,video back 50:35,,
0:51:00,1,,,,,,,,
0:52:00,1,,,,,,,,
0:53:00,,,1,,,,,,
0:54:00,,,,,1,,,,
0:55:00,,,,,1,,jump from tree 55:43 same spot as before,,
0:56:00,,,,,,,,,
0:57:00,,,,,,,,,
0:58:00,,,,,,,,,
0:59:00,,,,,,,,,
1:00:00,,,,,,,,,
1:01:00,,,,,,,,,
1:02:00,,,,,,,,,
1:03:00,,,,,,,,,
1:04:00,,,,,,,,no video 1:04:05,
1:05:00,,,,,,,,,
1:06:00,,,,,,,,,
1:07:00,,,,,,,,,
1:08:00,,,,,,,,video back 1:08:59,
1:09:00,,,,,,,,,
1:10:00,,,,,,,,,
1:11:00,,,,,,,,,
1:12:00,,,,,,,,,
1:13:00,,,,,,,,,
1:14:00,,,,,,,,,
1:15:00,,,,,,,,,
1:16:00,,,,,,,,,
1:17:00,,,,,,,,,
1:18:00,,,,,,,,,
1:19:00,,,,,,,,,
1:20:00,,,,,,,,,
1:21:00,,,,,,,,,
1:22:00,,,,,,,,no video 1:22:39,
1:23:00,,,,,,,,video back 1:23:36,
1:24:00,,,,,,,,,
1:25:00,,,,,,,,,
1:26:00,,,,,,,,,
1:27:00,,,,,,,,,
1:28:00,,,,,,,,,
1:29:00,,,,,,,,,
1:30:00,,,,,,,,,
1:31:00,,,,,,,,,
1:32:00,,,,,,,,,
1:33:00,,,,,,,,,
1:34:00,,,,,,,,,
1:35:00,,,,,,,,,
1:36:00,,,,,,,,,
1:37:00,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
