19_12_16_Cam1,,,,,"not visible: x count, no count: empty",,,,
Time,Region 1,x,Region 2,x,no r3,x,Notes,Video File,
3:19:00,,,,,,,,,
3:20:00,,,,,,,,,
3:21:00,,,,,,,,,
3:22:00,,,,,,,,,
3:23:00,,,,,,,,,
3:24:00,,,,,,,,,
3:25:00,,,,,,,,,
3:26:00,,,,,,,,,
3:27:00,,,,,,,,,
3:28:00,,,,,,,,,
3:29:00,,,,,,,,,
3:30:00,,,,,,,,,
3:31:00,,,,,,,,,
3:32:00,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
